File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	156	_Domino.JugarMultijugadorWindow.SomeoneLeftGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	162	_Domino.JugarMultijugadorWindow.UpdateGames$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	168	_Domino.JugarMultijugadorWindow.AdjustComponents$bool$	0	6
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	186	_Domino.JugarMultijugadorWindow.ResetComponents$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	213	_Domino.JugarMultijugadorWindow.GamesList_IsDoubleClick$object.System.Windows.Input.MouseButtonEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	218	_Domino.JugarMultijugadorWindow.GamesList_SelectedIndexChanged$object.System.Windows.Controls.SelectionChangedEventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	228	_Domino.JugarMultijugadorWindow.ComboBox_SelectedIndexChanged$object.System.Windows.Controls.SelectionChangedEventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	238	_Domino.JugarMultijugadorWindow.ClickKickPlayer$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	244	_Domino.JugarMultijugadorWindow.IsReadyCheckBox_Checked$object.System.Windows.RoutedEventArgs$	0	9
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	274	_Domino.JugarMultijugadorWindow.StartRound$int$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	281	_Domino.JugarMultijugadorWindow.LoadingRow$object.System.Collections.Specialized.NotifyCollectionChangedEventArgs$	0	8
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\MainWindow.g.cs	75	_Domino.MainWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MainWindow.xaml.cs	49	_Domino.MainWindow.ClickSignUp$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MainWindow.xaml.cs	55	_Domino.MainWindow.IsEnter$object.System.Windows.Input.KeyEventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MainWindow.xaml.cs	61	_Domino.MainWindow.ClickRecover$object.System.Windows.Input.MouseButtonEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MainWindow.xaml.cs	67	_Domino.MainWindow.GoBack$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MainWindow.xaml.cs	75	_Domino.MainWindow.Navegate$System.Windows.Controls.Page$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\MenuWindow.g.cs	147	_Domino.MenuWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	37	_Domino.MenuWindow.ReciveMessage$string.string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	44	_Domino.MenuWindow.ClickPlay$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	50	_Domino.MenuWindow.ClickSeeScores$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	56	_Domino.MenuWindow.ClickChangePassword$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	62	_Domino.MenuWindow.GoBack$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	69	_Domino.MenuWindow.ClickLogOut$object.System.EventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	76	_Domino.MenuWindow.ClickIconChat$object.System.EventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	90	_Domino.MenuWindow.IsEnter$object.System.Windows.Input.KeyEventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	106	_Domino.MenuWindow.UserNotVerified$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\MenuWindow.xaml.cs	120	_Domino.MenuWindow.ClickValidate$object.System.EventArgs$	0	9
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\RecuperarContraseñaWindow.g.cs	67	_Domino.RecuperarContrase.F1aWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\RecuperarContraseñaWindow.xaml.cs	23	_Domino.RecuperarContrase.F1aWindow.ClickCancel$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\RecuperarContraseñaWindow.xaml.cs	28	_Domino.RecuperarContrase.F1aWindow.ClickRecover$object.System.Windows.RoutedEventArgs$	0	12
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	75	_Domino.Proxy.LoginServiceClient.LogIn$string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	79	_Domino.Proxy.LoginServiceClient.LogInAsync$string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	83	_Domino.Proxy.LoginServiceClient.SignUp$string.string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	87	_Domino.Proxy.LoginServiceClient.SignUpAsync$string.string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	91	_Domino.Proxy.LoginServiceClient.RecoverPassword$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	95	_Domino.Proxy.LoginServiceClient.RecoverPasswordAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	99	_Domino.Proxy.LoginServiceClient.VerificateUser$string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	103	_Domino.Proxy.LoginServiceClient.VerificateUserAsync$string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	107	_Domino.Proxy.LoginServiceClient.IsVerified$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	111	_Domino.Proxy.LoginServiceClient.IsVerifiedAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	160	_Domino.Proxy.MenuServiceClient.ChangePassword$string.string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	164	_Domino.Proxy.MenuServiceClient.ChangePasswordAsync$string.string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	168	_Domino.Proxy.MenuServiceClient.GetScores$$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	172	_Domino.Proxy.MenuServiceClient.GetScoresAsync$$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	229	_Domino.Proxy.ChatServiceClient.JoinChat$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	233	_Domino.Proxy.ChatServiceClient.JoinChatAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	237	_Domino.Proxy.ChatServiceClient.SendMessage$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	241	_Domino.Proxy.ChatServiceClient.SendMessageAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	370	_Domino.Proxy.LobbyServiceClient.JoinLobby$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	374	_Domino.Proxy.LobbyServiceClient.JoinLobbyAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	378	_Domino.Proxy.LobbyServiceClient.GetGames$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	382	_Domino.Proxy.LobbyServiceClient.GetGamesAsync$$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	386	_Domino.Proxy.LobbyServiceClient.CreateGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	390	_Domino.Proxy.LobbyServiceClient.CreateGameAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	394	_Domino.Proxy.LobbyServiceClient.JoinGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	398	_Domino.Proxy.LobbyServiceClient.JoinGameAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	402	_Domino.Proxy.LobbyServiceClient.BreakGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	406	_Domino.Proxy.LobbyServiceClient.BreakGameAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	410	_Domino.Proxy.LobbyServiceClient.MemberLeftGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	414	_Domino.Proxy.LobbyServiceClient.MemberLeftGameAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	418	_Domino.Proxy.LobbyServiceClient.KickPlayer$string.string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	422	_Domino.Proxy.LobbyServiceClient.KickPlayerAsync$string.string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	426	_Domino.Proxy.LobbyServiceClient.PlayerChangedHisReady$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	430	_Domino.Proxy.LobbyServiceClient.PlayerChangedHisReadyAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	434	_Domino.Proxy.LobbyServiceClient.StartGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	438	_Domino.Proxy.LobbyServiceClient.StartGameAsync$string$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	481	_Domino.Proxy.GameServiceClient.JustToTest$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\Connected Services\Proxy\Reference.cs	485	_Domino.Proxy.GameServiceClient.JustToTestAsync$$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\RegistrarseWindow.g.cs	91	_Domino.RegistrarseWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\RegistrarseWindow.xaml.cs	25	_Domino.RegistrarseWindow.ClickCancel$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\VerficacionWindow.g.cs	67	_Domino.VerficacionWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\VerficacionWindow.xaml.cs	25	_Domino.VerficacionWindow.ClickAnotherTime$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\VerficacionWindow.xaml.cs	30	_Domino.VerficacionWindow.ClickValidate$object.System.Windows.RoutedEventArgs$	0	9
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\VerMarcadoresWindow.g.cs	67	_Domino.VerMarcadoresWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\VerMarcadoresWindow.xaml.cs	29	_Domino.VerMarcadoresWindow.ClickRegresar$object.System.Windows.RoutedEventArgs$	0	3
